Steps_Before,Hour,Date,DOW,Is_Weekend,Abandon_Ratio,Avg_Sess_Per_Month,Is_AB
7,6,31,0,1.0,1.0,2.0,1.0
5,17,15,5,0.0,0.67,0.6,1.0
3,4,2,6,1.0,0.25,2.4,0.0
7,14,6,3,0.0,0.25,2.4,0.0
13,9,3,0,1.0,1.0,1.6,1.0
4,10,3,0,1.0,1.0,1.6,1.0
6,4,21,4,0.0,1.0,1.6,1.0
43,20,28,4,0.0,1.0,1.6,1.0
7,12,30,6,1.0,1.0,1.6,1.0
6,12,30,6,1.0,1.0,1.6,1.0
12,15,30,6,1.0,1.0,1.6,1.0
2,13,8,5,0.0,0.0,0.2,0.0
7,7,9,6,1.0,0.24,5.8,1.0
7,12,14,4,0.0,0.24,5.8,0.0
8,6,15,5,0.0,0.24,5.8,0.0
11,8,16,6,1.0,0.24,5.8,1.0
4,9,16,6,1.0,0.24,5.8,0.0
5,5,22,5,0.0,0.24,5.8,1.0
9,5,11,1,0.0,0.08,2.4,0.0
11,7,18,1,0.0,0.08,2.4,1.0
4,17,22,5,0.0,0.08,2.4,0.0
4,7,27,3,0.0,0.08,2.4,0.0
34,4,9,6,1.0,0.25,0.8,1.0
4,3,10,0,1.0,0.25,0.8,0.0
4,4,10,0,1.0,0.25,0.8,0.0
2,4,15,5,0.0,0.25,0.8,0.0
4,4,8,5,0.0,1.0,0.2,1.0
14,19,15,5,0.0,0.67,0.6,1.0
4,7,3,0,1.0,0.36,4.4,0.0
4,6,8,5,0.0,0.36,4.4,1.0
9,7,8,5,0.0,0.36,4.4,0.0
12,4,12,2,0.0,0.36,4.4,0.0
9,14,13,3,0.0,0.36,4.4,0.0
12,9,15,5,0.0,0.36,4.4,1.0
4,10,15,5,0.0,0.36,4.4,0.0
7,13,25,1,0.0,0.36,4.4,0.0
6,16,25,1,0.0,0.36,4.4,0.0
4,5,9,6,1.0,0.0,1.6,0.0
5,13,27,3,0.0,0.0,1.6,0.0
5,10,28,4,0.0,0.0,1.6,0.0
15,11,28,4,0.0,0.0,1.6,0.0
5,3,29,5,0.0,0.0,1.6,0.0
6,3,24,0,1.0,1.0,0.4,1.0
10,14,7,4,0.0,0.0,2.4,0.0
9,7,12,2,0.0,0.0,2.4,0.0
4,5,31,0,1.0,0.0,2.4,0.0
6,14,4,1,0.0,0.0,0.2,0.0
8,9,26,2,0.0,0.09,4.6,0.0
8,10,29,5,0.0,0.09,4.6,0.0
7,14,29,5,0.0,0.09,4.6,1.0
7,17,29,5,0.0,0.09,4.6,0.0
6,17,29,5,0.0,0.09,4.6,0.0
24,3,30,6,1.0,0.09,4.6,1.0
6,5,30,6,1.0,0.09,4.6,0.0
7,16,8,5,0.0,1.0,0.8,1.0
4,6,12,2,0.0,1.0,0.8,1.0
19,9,28,4,0.0,1.0,0.2,1.0
15,11,8,5,0.0,0.2,1.0,1.0
10,7,21,4,0.0,0.2,1.0,0.0
23,12,11,1,0.0,0.27,5.2,1.0
1,12,11,1,0.0,0.27,5.2,1.0
4,13,11,1,0.0,0.27,5.2,0.0
4,3,14,4,0.0,0.27,5.2,0.0
5,4,1,5,0.0,0.19,3.2,1.0
4,6,1,5,0.0,0.19,3.2,0.0
15,7,27,3,0.0,0.19,3.2,1.0
4,10,27,3,0.0,0.19,3.2,0.0
22,13,3,0,1.0,0.29,1.4,1.0
3,3,4,1,0.0,0.29,1.4,0.0
20,12,25,1,0.0,0.29,1.4,0.0
32,6,13,3,0.0,0.8,1.0,1.0
6,0,22,5,0.0,0.14,1.4,0.0
8,5,1,5,0.0,0.21,5.6,1.0
8,7,3,0,1.0,0.21,5.6,1.0
10,4,22,5,0.0,0.21,5.6,0.0
10,14,30,6,1.0,0.21,5.6,1.0
11,15,30,6,1.0,0.21,5.6,0.0
15,7,25,1,0.0,1.0,0.8,1.0
6,5,6,3,0.0,0.08,2.4,0.0
4,3,8,5,0.0,0.08,2.4,0.0
5,10,30,6,1.0,0.08,2.4,0.0
12,0,26,2,0.0,0.0,0.2,0.0
6,16,18,1,0.0,1.0,0.4,1.0
5,5,7,4,0.0,0.33,1.2,1.0
19,7,15,5,0.0,0.33,1.2,0.0
3,7,15,5,0.0,0.33,1.2,1.0
